Year,Algeria,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Eswatini,Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Libya,Madagascar,Mauritius,Morocco,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,Sudan,Tanzania,Togo,Uganda,Zambia,Zimbabwe
1960,2723615451.0,226195578.4,30411413.66,330442815.8,195999990.0,614206068.5,112155598.5,313582728.1,35076845.97,1610511694.0,141468977.8,1223943662.0,791265459.5,34579986.17,190495600.0,401644248.8,673081724.8,162089563.9,2037154742.0,449526873.3,4196174502.0,119000024.0,1003692370.0,12012024.62,322151470.6,180459936.8,8748596501.0,1127011494.0,2651729807.0,171057069.1,423008385.7,713000000.0,1052990400.0
1961,2434747056.0,235668220.5,32902612.87,350247234.3,202999992.0,652777608.3,123134583.5,333975336.1,43026042.79,1680859514.0,167637907.1,1309859155.0,792959472.8,35699985.72,183920900.0,443905611.6,699161944.6,191757729.4,2025693540.0,485785231.0,4467287893.0,122000016.0,1058975257.0,11592023.76,327979248.4,191659914.4,9225996310.0,1223563218.0,2826179031.0,178497098.3,441524109.0,696285714.3,1096646600.0
1962,2001444544.0,236434954.0,35644956.64,379567099.2,213500006.0,694247864.4,124482773.8,357635713.4,45927961.63,1747566307.0,182796536.3,1390140845.0,868111400.8,41859983.26,191861800.0,619725784.7,739286907.6,197738207.8,2379611125.0,531736599.3,4909399176.0,125000008.0,1085475791.0,12642025.92,342872712.4,203531927.5,9813996074.0,1329022989.0,3101589993.0,186745757.9,449012578.6,693142857.1,1117601600.0
1963,2702982018.0,253927697.3,38091842.85,394040667.1,232749998.0,718320845.0,129379123.8,371767002.2,54129438.35,1825058828.0,154480244.1,1549295775.0,926589349.4,47039981.18,200229600.0,892327911.1,759345863.7,253839557.9,2657252578.0,586294878.7,5165590254.0,128000000.0,1122139862.0,13923028.54,348700653.6,216145935.9,10854195658.0,1352011494.0,3456579293.0,202305865.2,516147798.7,718714285.7,1159511700.0
1964,2909316435.0,269819005.9,41616347.79,410321645.0,260750008.0,776650176.9,142025078.7,392247517.7,64980554.01,1984129185.0,215679855.3,1740845070.0,998759334.5,51939979.22,218929100.0,1341395422.0,802482183.7,218914569.1,2798345299.0,582816396.4,5552931319.0,129999994.0,1188930645.0,15393031.56,372012091.5,229529912.7,11955995218.0,1389080460.0,3748840925.0,234572186.5,589056603.8,839428571.4,1217138000.0
1965,3136284307.0,289908680.4,45788696.33,422916789.7,158994963.0,814083265.5,150574795.4,416926303.3,70279971.89,2159998591.0,226474285.8,2064788732.0,997919320.8,54879978.05,229260800.0,1804979679.0,833563473.0,230024160.6,2948331090.0,673383510.8,5874537650.0,148799980.0,1210058228.0,15603031.99,359523809.5,243725898.0,13068994772.0,1447701149.0,3817226546.0,264505506.0,884502310.0,1082857143.0,1311435800.0
1966,3039859187.0,302925235.2,51465655.39,433889766.2,165444571.4,851112534.6,157930018.1,432794921.7,76859969.26,2324466416.0,245849781.3,2138028169.0,1164519674.0,56699977.32,244459500.0,2312438535.0,900264584.6,227534083.5,2876401297.0,702296078.6,6366917453.0,124525702.9,1246908186.0,16443033.71,375630252.1,257375897.0,14211394315.0,1485344828.0,4377998825.0,305227594.8,925381492.4,1264285714.0,1281749500.0
1967,3370870376.0,306221953.1,58642354.09,450753923.5,178297142.9,936175260.0,163820513.6,449826322.6,74759970.1,2461762003.0,271543680.0,1748837209.0,1232559507.0,59261976.3,261024300.0,2726986913.0,956436932.1,238439290.9,3046345314.0,665586872.3,5203237919.0,159560018.0,1246480766.0,16632032.13,348895027.6,271781886.8,15821393671.0,1608333333.0,4565132047.0,327215843.6,967240655.2,1368000000.0,1397002000.0
1968,3852147027.0,326323105.3,66248441.42,460442689.4,183200000.0,1046191218.0,191767441.6,453980096.2,79799968.08,2619948865.0,294468564.2,1666666667.0,1353295459.0,61445975.42,276820700.0,3850623096.0,1031669637.0,206576630.6,3271422333.0,641214226.2,5200997920.0,172200018.0,1309384862.0,16074027.65,329991956.8,286719885.3,17124793150.0,1678735632.0,4895251824.0,341691567.5,1037379252.0,1605857143.0,1479599900.0
1969,4257253264.0,330748244.5,77361546.51,478298645.4,190205714.3,1100551489.0,188039210.1,471635621.6,105419957.8,2768987372.0,318124701.5,1961764706.0,1458379417.0,65967973.61,306961800.0,4380987480.0,1056391056.0,221553612.9,3651622669.0,625867985.3,6634317346.0,188700037.0,1245234931.0,16452028.3,408853541.4,306357284.6,19256992297.0,1848563218.0,5142066811.0,378091809.6,1168556629.0,1965714286.0,1747998800.0
1970,4863526897.0,333627713.5,96243233.66,458404268.8,242732571.4,1151216993.0,189106529.2,469266736.7,112139955.1,3045354455.0,323802475.5,2214705882.0,1603447359.0,68739972.5,323099700.0,4601649450.0,1111859571.0,224125805.0,3956336244.0,649916621.2,12546094982.0,219900006.0,1297407655.0,18432031.7,434584033.6,347985394.3,21218391513.0,2101436782.0,2851419386.0,358665753.9,1259554809.0,1825285714.0,1884206300.0
1971,5077183094.0,335073027.5,127448613.5,482411179.1,252842285.7,1236941394.0,201450799.8,501866730.1,136462080.7,3224280835.0,381687072.6,2427184466.0,1778391289.0,76480285.0,341543100.0,5260185126.0,1199507631.0,251437337.9,4356669034.0,693573703.6,9181769912.0,222952504.4,1339549033.0,21965950.77,419495908.5,347039445.7,23411076638.0,2289655172.0,3050673517.0,404648367.8,1417191656.0,1687000000.0,2178716300.0
1972,6766743957.0,410331857.0,164460915.0,578595522.0,246804571.4,1498251890.0,230317883.4,585427546.8,146736479.2,3520252938.0,430508358.5,2116541353.0,2107279157.0,80913200.43,368098000.0,6299395545.0,1341590690.0,318664899.7,5074117545.0,742779660.8,12274416018.0,246457838.3,1620857104.0,30645122.92,465254432.0,447883941.2,24515919217.0,2484482759.0,3472787266.0,474043921.8,1490970181.0,1873249300.0,2677729400.0
1973,8707858912.0,504376074.2,244124164.0,674773569.9,304339839.6,1901393361.0,271183082.0,647199483.0,221915127.6,4070570550.0,722780701.3,3018103448.0,2509001324.0,121188715.8,386968300.0,8625889431.0,1653062335.0,404285775.1,6242145880.0,946385105.2,15162871287.0,290746157.1,1863398590.0,36896280.48,575471323.5,483699610.6,33262772008.0,3079022989.0,4144104535.0,574030984.0,1701829789.0,2435736196.0,3309353600.0
1974,13209871626.0,554654860.7,306044207.5,751133430.4,345263492.1,2157415533.0,281398705.6,652532795.1,264320941.0,4577209966.0,1544216002.0,2894409938.0,2969958812.0,150851316.5,486955000.0,15112543718.0,1917508190.0,669894029.6,7675466449.0,1026137111.0,24846641318.0,308458423.2,2099325229.0,43134496.16,648940350.9,572504035.9,41389186095.0,3961206897.0,4977337978.0,791450308.4,2098944967.0,2913063764.0,3982161400.0
1975,15557902754.0,676870140.3,355168571.5,939972703.5,420986666.7,2857037371.0,378660016.3,864602104.7,288299788.5,4577047854.0,2157592940.0,2810106383.0,3259345083.0,149558895.9,577549300.0,14710912457.0,2283049215.0,673311287.1,8984853005.0,1048690933.0,27778934625.0,571863500.2,2830388405.0,47803145.95,679352433.6,757015878.8,42906905672.0,4825862069.0,5729917840.0,871781686.9,2359555556.0,2443545879.0,4371300700.0
1976,17728240932.0,698408261.9,372025093.0,976547188.1,448412753.6,2898090002.0,451152461.3,866044962.0,272550068.1,4943806093.0,3009409974.0,2765254237.0,3474542392.0,147660036.9,596675700.0,19096943016.0,2181844179.0,713510051.6,9584297284.0,1064517601.0,36308883249.0,637753853.1,2869777884.0,49278981.76,594810152.7,871344245.1,41150460288.0,6016666667.0,6472511988.0,874681611.9,2447300000.0,2742796006.0,4318372000.0
1977,20972113685.0,750049778.8,451624780.3,1131224878.0,547535555.6,3394664024.0,507298147.5,935360464.7,304060076.0,5651840585.0,2809349069.0,3189428571.0,4494378764.0,193315048.3,673010600.0,22428297108.0,2358930406.0,834722972.2,11049783872.0,1291458041.0,36035407725.0,746650613.0,2938046463.0,64526401.46,692079581.2,498550724.6,45328411332.0,7503448276.0,7732598995.0,1097893826.0,2936470588.0,2514430380.0,4364382100.0
1978,26364491313.0,928843469.4,590407374.4,1475583645.0,610225555.6,4662852583.0,610578632.0,1113920124.0,340630085.2,6014961435.0,2389479272.0,3662478185.0,5303735111.0,266570066.6,717240400.0,22136422642.0,2669755115.0,1029040323.0,13236946234.0,1774365590.0,36527862209.0,905709076.4,3280354921.0,85552365.8,960765043.0,564571823.2,51607412902.0,8138461538.0,9261675710.0,1164025637.0,2420260870.0,2809862672.0,4351600500.0
1979,33243706860.0,1186231020.0,819870258.8,1748480621.0,782496666.7,5919002983.0,700764747.8,1004316496.0,412093133.8,6586048398.0,3030251120.0,4020227920.0,6234391113.0,290134592.5,814067900.0,30536429498.0,3463565854.0,1227446632.0,15911994817.0,2109277666.0,47259911894.0,1109346131.0,4084877823.0,127261099.2,1109343236.0,589566929.1,63038658089.0,8421678322.0,9804637491.0,1259365712.0,2139025000.0,3354854981.0,5177459400.0
1980,42345829079.0,1405251847.0,1060889704.0,1928719888.0,919726666.7,6674569047.0,797048198.5,1033002404.0,541976852.6,7012585454.0,4279637942.0,4445228216.0,7265315820.0,431542536.7,854711500.0,40953924949.0,5201818348.0,1147027924.0,21728516153.0,2508524721.0,64201788123.0,1254765642.0,4510108291.0,156783829.5,1100476190.0,602515548.5,89411864402.0,8951800000.0,11409228087.0,1604836916.0,1244610000.0,3882889734.0,6678868200.0
1981,44348590461.0,1291120188.0,1073812830.0,1775842334.0,969046666.7,6610938617.0,694803622.9,876937558.3,570774824.8,7507663566.0,3862269121.0,4222441860.0,6854491706.0,434188034.2,846514500.0,36374353880.0,4759333998.0,1157769444.0,17788185479.0,2170893414.0,164475000000.0,1407062527.0,4095892781.0,163750728.2,1114926661.0,699302473.1,93141472164.0,10751162791.0,13161540378.0,1359026709.0,1337300000.0,4006206897.0,8011373800.0
1982,45207167470.0,1267778670.0,1014945696.0,1754450096.0,1013222222.0,6611255964.0,748312390.8,834369859.7,537568059.4,7899988841.0,3618007841.0,4035994398.0,6431579357.0,348741683.7,863933200.0,33760146992.0,4784977326.0,1092923636.0,17692276734.0,2017612216.0,142769000000.0,1407243139.0,4013951443.0,157211789.7,1294995964.0,774578932.0,85904057409.0,8735294118.0,13927383240.0,1160337039.0,2177500000.0,3870075350.0,8539700700.0
1983,48801369800.0,1095348199.0,1172230397.0,1600278605.0,1082926304.0,6870200010.0,658679332.7,832415806.0,555336145.8,8781664427.0,3391275732.0,4057275132.0,5979198314.0,386699308.9,823374900.0,33200520140.0,4686457031.0,1104956573.0,16251408128.0,1803099561.0,97094911792.0,1479687587.0,3569356125.0,156098237.0,995278514.6,735408641.8,96204110942.0,8230153846.0,14049883809.0,1081387265.0,2240333333.0,3321048451.0,7764067000.0
1984,53698548293.0,1051134009.0,1240822167.0,1459880132.0,987143931.2,7311938026.0,637820670.3,919103734.9,494483408.9,8298309581.0,3561451561.0,4412279843.0,6191437070.0,333163670.3,848478300.0,29476109152.0,3905938481.0,1054564759.0,14824667954.0,1461243326.0,73484359521.0,1587413084.0,3485165432.0,160992921.0,1087450199.0,787434541.7,84870163366.0,10447615385.0,12906635133.0,1014170069.0,3615647477.0,2719801434.0,6352125900.0
1985,57937868670.0,1045712789.0,1114783343.0,1552493196.0,1149979286.0,8544810498.0,864849836.3,1033069709.0,360079419.4,9717392687.0,3339914757.0,4504306723.0,6135034214.0,268629925.9,851296100.0,31530566324.0,3802557895.0,1090611325.0,14991283216.0,1440581652.0,73745821158.0,1715626331.0,3818944918.0,179691482.7,856890498.6,875702247.2,64459376087.0,8075347222.0,15328295175.0,1076604520.0,3519695444.0,2252197452.0,5637259300.0
1986,63692007897.0,1336102025.0,1392602164.0,2036303358.0,1201725497.0,11857056199.0,1122265013.0,1067828246.0,449140318.4,10094328898.0,3403638189.0,5735677434.0,7239126568.0,318858423.0,840964400.0,24180400961.0,4347989788.0,1482601552.0,19462085540.0,1904096998.0,54805852581.0,1944710684.0,5392093446.0,221147061.3,490181456.6,916590786.3,73354771399.0,10092200000.0,10840864521.0,1498219579.0,3923244050.0,1664509502.0,6217523700.0
1987,66745818375.0,1562412228.0,1965226890.0,2369834950.0,1131466494.0,13049659981.0,1200991978.0,1163426852.0,584126092.3,10790001558.0,3281797043.0,5074829932.0,7970820369.0,402768324.5,972800000.0,26697659336.0,3212900556.0,1906174438.0,21765195948.0,2233006105.0,52676041931.0,2157432668.0,6487353103.0,265212956.9,660106321.4,1018972664.0,96535763418.0,12093333333.0,7824193222.0,1763978066.0,6269522042.0,2265364009.0,6741215100.0
1988,59089396860.0,1620246084.0,2644554159.0,2616040479.0,1082403219.0,12236057362.0,1264899288.0,1482597298.0,692026454.7,11181119718.0,3834503376.0,5197765032.0,8355380879.0,470395800.6,1038300000.0,24308959592.0,3189456965.0,2163252449.0,25705296184.0,2280356193.0,49648470440.0,2395492687.0,6418419389.0,301985618.1,1055083945.0,1051596967.0,103977000000.0,14372555556.0,7406614407.0,1947208354.0,6508931652.0,3728889427.0,7814784100.0
